AC,priority,label-val,between_connectivity,cluster
AR3338B,False,0,0,0.0
AR3347A,False,0,0,1.0
AR3353C,False,1,0,0.0
AR3354C,False,0,0,2.0
AR3365B,False,1,0,3.0
AR3367B,False,0,0,1.0
AR3369B,False,0,0,3.0
AR3387A,False,0,0,4.0
AR3395A,False,0,0,2.0
AR3433A,False,1,0,3.0
AR3436A,False,1,0,3.0
AR3437A,False,1,0,3.0
AR3442A,False,0,0,3.0
AR3442B,False,1,0,3.0
AR3445A,False,1,0,3.0
AR3447A,False,0,0,4.0
AR3449A,False,1,0,3.0
ASR1,False,1,0,1.0
ASR101,False,0,0,4.0
ASR115,False,1,0,4.0
ASR115A,False,0,0,3.0
ASR115B,False,0,0,3.0
ASR13,False,0,0,4.0
ASR155,False,1,0,3.0
ASR21,False,0,0,3.0
ASR68,False,0,0,1.0
ASR69,False,0,0,1.0
ASR72,False,1,0,4.0
ASR73,False,1,0,3.0
ASR77,False,0,0,3.0
ASR80,False,0,0,1.0
ASR81,False,0,0,0.0
ASR82,False,1,0,3.0
ASR83,False,1,0,0.0
ASR84,False,0,0,0.0
ASR86,False,1,0,3.0
ASR87,False,0,0,4.0
ASR89,False,0,0,0.0
ASR95,False,1,0,4.0
ASR97,False,0,0,4.0
ASR99,False,0,0,1.0
ATR1,False,1,0,0.0
ATR101,False,1,0,4.0
ATR103,False,0,0,4.0
ATR105,False,0,0,1.0
ATR106,False,0,0,3.0
ATR107,False,0,0,1.0
ATR109,False,0,0,1.0
ATR110,False,0,0,4.0
ATR111,False,1,0,2.0
ATR114,False,1,0,3.0
ATR115,False,1,0,0.0
ATR12,False,1,0,4.0
ATR120,False,1,0,4.0
ATR121,False,1,0,0.0
ATR122,False,1,0,4.0
ATR124,False,1,0,0.0
ATR125,False,1,0,0.0
ATR126,False,0,0,2.0
ATR127,False,1,0,0.0
ATR128,False,1,0,1.0
ATR129,False,1,0,0.0
ATR13,False,0,0,1.0
ATR130,False,1,0,1.0
ATR131,False,0,0,4.0
ATR132,False,1,0,2.0
ATR133,False,0,0,2.0
